#adapter,NewDB,post,/v1/face/new_db
#adapter,DeleteDB,post,/v1/face/delete_db
#adapter,BatchAddImageToDB,post,/v1/face/batch_add_image_to_db
#adapter,DeleteImageFromDB,post,/v1/face/delete_image_from_db
#adapter,FeatureBatchAdd,post,/v1/databases/{col_id}/batch_add
#adapter,DetectAndExtract,post,/v1/face/detect_and_extract
#adapter,CompareOneToOne,post,/v1/face/compare_one_to_one
#adapter,SearchImageInDBs,post,/v1/face/search_image_in_dbs
#adapter,FeatureBatchSearch,post,/v1/databases/{col_id}/batch_search
#adapter,FeatureBatchGetByKey,post,/v1/databases/{col_id}/batch_get_by_key
#adapter,TaskNew,post,/v1/tasks
#adapter,TaskList,get,/v1/tasks
#adapter,TaskDelete,delete,/v1/tasks/{task_id}
#adapter,CompareFeature,post,/v1/compare_feature
#adapter,DownloadObject,get,/_/{bucket_name}/{object_key}

auth,ConsoleAuthService_GetAccountInfo,get,/console/v1/accounts/account_info
auth,ConsoleAuthService_GetAccountStatus,get,/console/v1/accounts/auth_status
auth,ConsoleAuthService_GetEnterpriseAccount,get,/console/v1/accounts/enterprise
auth,ConsoleAuthService_SubmitEnterpriseAccount,post,/console/v1/accounts/enterprise_submit
auth,ConsoleAuthService_UpdateEnterpriseAccount,post,/console/v1/accounts/enterprise_update
auth,ConsoleAuthService_GetIndustryInfo,get,/console/v1/accounts/industry_info
auth,ConsoleAuthService_GetPersonAccount,get,/console/v1/accounts/person
auth,ConsoleAuthService_SubmitPersonAccount,post,/console/v1/accounts/person_submit
auth,ConsoleAuthService_UpdatePersonAccount,post,/console/v1/accounts/person_update

# IAM接口
#authIam,授权,get,/v1/authorize
#authIam,图片验证码,get,/v1/captcha
#authIam,修改密码,post,/v1/change-password
#authIam,邮箱找回密码,post,/v1/email-find-password
#authIam,登录,post,/v1/login
#authIam,登出,get,/v1/logout
#authIam,商汤sso登录地址,get,/v1/sensetime-login
#authIam,刷新token,post,/v1/token
#authIam,发送验证码,post,/v1/verification-code
#authIam,认证,get,/v1/verify

authInternalAuth,ConsoleInternalAuthService_AdminGetPhoneOrEmailByAccountID,get,/console-internal/v1/account/phone_or_email
authInternalAuth,ConsoleInternalAuthService_AdminGetAccountList,get,/console-internal/v1/accounts
